crystal_id,Zeolite,SMILES,InchiKey,Ligand formula,Loading,Binding (SiO2),Binding (OSDA),Directivity (SiO2),Competition (SiO2),Competition (OSDA),Templating,SCScore,Volume (Angstrom3),Axis 1 (Angstrom),Axis 2 (Angstrom),In literature?,Germanosilicate composition?,Zeolite composition?,Zeotype composition?
139230399,ITR,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,4,-2.929248160925033,-82.01894850590092,8.45387681810741,11.526011026940992,136.89246762639937,22.283086849855714,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139042476,VFI,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-3.3669007667427766,-121.20842760273993,11.337765701489664,11.08835842112325,97.70298852956034,21.878952533806423,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
138935635,MFI,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,4,-3.9138184527962574,-93.9316428671102,8.951814175787561,10.541440735069767,124.97977326519009,21.721613675769614,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139065367,STF,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,2,-5.698224718736305,-91.17159549978088,8.036077218970519,8.757034469129719,127.7398206325194,21.67180660304137,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139295870,IWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,5,-5.181280112779552,-116.06067452626196,8.769295292930442,9.273979075086473,102.8507416060383,21.618337670177866,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139268410,MOZ,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,6,-4.625798937925037,-83.26438088265066,6.419909822008197,9.829460249940988,135.6470352496496,21.61491203149281,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
138566452,EWS,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,5,-5.347591372176969,-102.6737543457978,10.430948158838099,9.107667815689057,116.23766178650247,21.58738541634264,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
138953307,BPH,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-5.79285858476465,-162.2000403734102,13.121401991636471,8.662400603101375,56.71137575889009,21.442894122193373,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
137320942,MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-2.8436527377700465,-204.74299711944337,12.083556655874428,11.611606450095975,14.168419012856901,21.293880389248066,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,1.0,False,True,False
139130757,EZT,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,2,-5.296045479153771,-127.10509149969052,9.739997293770447,9.159213708712253,91.80632463260972,21.278074609935018,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139416333,UTL,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,3,-5.693987629567388,-144.24768661570712,10.073002178552057,8.761271558298638,74.66372951659316,21.263032023319308,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
139083285,ITT,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,3,-8.015376264300505,-122.90243605260777,13.834670914694307,6.43988292356552,96.00898007969252,21.06038955846881,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
143476572,ETV,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,KKXBPUAYFJQMLN-UHFFFAOYNA-N,C13H24N+,1,-1.1146887204516311,-15.605642086322836,13.8429194593296,13.340570467414393,203.30577404597744,21.032463595675427,1.6502971290092268,211.93600000000006,7.010108905076059,4.969247520812115,0.0,False,False,False
