ppm,Intensity
127.590219,13980.621
127.584108,36470.215
127.577996,-7584.732
127.571884,-51639.694
127.565772,-42705.475
127.55966,-33771.24
127.553548,-37622.208
127.547437,17677.551
127.541325,43401.947
127.535213,9975.632
127.529101,-2501.465
127.522989,-14978.577
127.516877,51411.926
127.510766,58651.733
127.504654,6971.878
127.498542,-44707.962
127.49243,-50792.48
127.486318,-56876.984
127.480206,-80829.941
127.474094,-104782.898
127.467983,-79443.604
127.461871,-54104.294
127.455759,-36466.919
127.449647,-18829.529
127.443535,-1192.154
127.437423,16445.236
127.431312,11901.108
127.4252,7356.979
127.419088,-34156.342
127.412976,-16518.951
127.406864,47291.412
127.400752,51951.05
127.394641,57843.018
127.388529,4584.29
127.382417,-15402.176
127.376305,-35388.641
127.370193,-13476.7
127.364081,8435.242
127.357969,52682.739
127.351858,37779.541
127.345746,22876.343
127.339634,67123.84
127.333522,41746.033
127.32741,16368.225
127.321298,20565.765
127.315187,24763.306
127.309075,57804.535
127.302963,31695.038
127.296851,-26454.422
127.290739,-84603.882
127.284627,-90380.325
127.278516,-37006.058
127.272404,-76054.764
127.266292,-16518.951
127.26018,21143.402
127.254068,-344.94
127.247956,-11974.823
127.241844,-23604.721
127.235733,-25992.31
127.229621,-28379.913
127.223509,2504.776
127.217397,-25761.261
127.211285,-25799.759
127.205173,-25838.272
127.199062,-25876.785
127.19295,-25915.298
127.186838,-52448.395
127.180726,-19830.78
127.174614,-14323.914
127.168502,-107401.55
127.162391,-93730.652
127.156279,-80059.753
127.150167,-66388.855
127.144055,-52717.957
127.137943,-100046.219
127.131831,-48789.978
127.125719,9860.107
127.119608,9359.482
127.113496,-14554.962
127.107384,-38469.421
127.101272,-16788.528
127.09516,4892.365
127.089048,2543.289
127.082937,194.199
127.076825,-61305.588
127.070713,-24220.871
127.064601,-42589.935
127.058489,-120109.711
127.052377,-150801.849
127.046266,-122343.269
127.040154,-37814.758
127.034042,-91304.55
127.02793,-47442.139
127.021818,55570.953
127.015706,16406.723
127.009595,-22757.507
127.003483,24339.691
126.997371,12286.209
126.991259,-11474.197
126.985147,-35234.604
126.979035,-66388.855
126.972923,-38392.395
126.966812,-35196.106
126.9607,-31999.802
126.954588,11862.595
