ppm,Intensity
-174.008,-1285966
-174.002,-1296448
-173.996,-1307118
-173.99,-1317936
-173.984,-1328854
-173.978,-1339824
-173.972,-1350790
-173.965,-1361694
-173.959,-1372478
-173.953,-1383078
-173.947,-1393430
-173.941,-1403468
-173.935,-1413120
-173.929,-1422322
-173.923,-1431000
-173.917,-1439084
-173.911,-1446506
-173.905,-1453194
-173.899,-1459084
-173.893,-1464104
-173.887,-1468194
-173.881,-1471292
-173.875,-1473338
-173.869,-1474280
-173.863,-1474064
-173.857,-1472646
-173.851,-1469984
-173.845,-1466042
-173.839,-1460790
-173.833,-1454202
-173.827,-1446262
-173.821,-1436958
-173.815,-1426282
-173.808,-1414238
-173.802,-1400834
-173.796,-1386086
-173.79,-1370014
-173.784,-1352648
-173.778,-1334024
-173.772,-1314184
-173.766,-1293180
-173.76,-1271062
-173.754,-1247896
-173.748,-1223748
-173.742,-1198688
-173.736,-1172796
-173.73,-1146152
-173.724,-1118840
-173.718,-1090954
-173.712,-1062582
-173.706,-1033820
-173.7,-1004766
-173.694,-975516
-173.688,-946170
-173.682,-916828
-173.676,-887586
-173.67,-858544
-173.664,-829798
-173.657,-801442
-173.651,-773568
-173.645,-746264
-173.639,-719618
-173.633,-693706
-173.627,-668610
-173.621,-644398
-173.615,-621138
-173.609,-598892
-173.603,-577714
-173.597,-557656
-173.591,-538760
-173.585,-521062
-173.579,-504592
-173.573,-489378
-173.567,-475432
-173.561,-462770
-173.555,-451396
-173.549,-441308
-173.543,-432498
-173.537,-424952
-173.531,-418654
-173.525,-413576
-173.519,-409694
-173.513,-406968
-173.507,-405364
-173.5,-404836
-173.494,-405342
-173.488,-406830
-173.482,-409248
-173.476,-412542
-173.47,-416656
-173.464,-421532
-173.458,-427110
-173.452,-433330
-173.446,-440134
-173.44,-447458
-173.434,-455244
-173.428,-463434
-173.422,-471968
-173.416,-480792
-173.41,-489850
-173.404,-499086
-173.398,-508454
-173.392,-517904
-173.386,-527390
-173.38,-536868
-173.374,-546298
-173.368,-555642
-173.362,-564868
-173.356,-573942
-173.349,-582838
-173.343,-591530
-173.337,-599994
-173.331,-608212
-173.325,-616166
-173.319,-623846
-173.313,-631238
-173.307,-638334
-173.301,-645126
-173.295,-651614
-173.289,-657796
-173.283,-663670
-173.277,-669240
-173.271,-674510
-173.265,-679484
-173.259,-684170
-173.253,-688576
-173.247,-692712
-173.241,-696588
-173.235,-700214
-173.229,-703604
-173.223,-706766
-173.217,-709718
-173.211,-712470
-173.205,-715038
-173.199,-717432
-173.192,-719670
-173.186,-721764
-173.18,-723728
-173.174,-725578
-173.168,-727324
-173.162,-728986
-173.156,-730572
-173.15,-732098
-173.144,-733580
-173.138,-735028
-173.132,-736456
-173.126,-737878
-173.12,-739306
-173.114,-740752
-173.108,-742230
-173.102,-743748
-173.096,-745322
-173.09,-746958
-173.084,-748670
-173.078,-750468
-173.072,-752356
-173.066,-754348
-173.06,-756448
-173.054,-758662
-173.048,-760998
-173.041,-763458
-173.035,-766048
-173.029,-768766
-173.023,-771614
-173.017,-774588
-173.011,-777690
-173.005,-780912
-172.999,-784248
-172.993,-787688
-172.987,-791222
-172.981,-794838
-172.975,-798522
-172.969,-802254
-172.963,-806016
-172.957,-809788
-172.951,-813542
-172.945,-817256
-172.939,-820900
-172.933,-824444
-172.927,-827858
-172.921,-831104
-172.915,-834150
-172.909,-836958
-172.903,-839488
-172.897,-841702
-172.891,-843558
-172.884,-845020
-172.878,-846042
-172.872,-846584
-172.866,-846608
-172.86,-846072
-172.854,-844938
-172.848,-843168
-172.842,-840726
-172.836,-837580
-172.83,-833698
-172.824,-829054
-172.818,-823622
-172.812,-817382
-172.806,-810316
-172.8,-802410
-172.794,-793660
-172.788,-784060
-172.782,-773614
-172.776,-762328
-172.77,-750214
-172.764,-737294
-172.758,-723592
-172.752,-709138
-172.746,-693968
-172.74,-678126
-172.734,-661660
-172.727,-644624
-172.721,-627080
-172.715,-609092
-172.709,-590732
-172.703,-572076
-172.697,-553206
-172.691,-534204
-172.685,-515162
-172.679,-496172
-172.673,-477328
-172.667,-458728
-172.661,-440474
-172.655,-422664
-172.649,-405402
-172.643,-388790
-172.637,-372930
-172.631,-357918
-172.625,-343858
-172.619,-330842
-172.613,-318964
-172.607,-308314
-172.601,-298976
-172.595,-291030
-172.589,-284550
-172.583,-279604
-172.576,-276252
-172.57,-274552
-172.564,-274548
-172.558,-276280
-172.552,-279778
-172.546,-285066
-172.54,-292156
-172.534,-301054
-172.528,-311752
-172.522,-324242
-172.516,-338496
-172.51,-354486
-172.504,-372168
-172.498,-391496
-172.492,-412412
-172.486,-434846
-172.48,-458728
-172.474,-483976
-172.468,-510502
-172.462,-538208
-172.456,-566998
-172.45,-596764
-172.444,-627396
-172.438,-658778
-172.432,-690794
-172.426,-723322
-172.419,-756240
-172.413,-789426
-172.407,-822754
-172.401,-856100
-172.395,-889342
-172.389,-922360
-172.383,-955036
-172.377,-987252
-172.371,-1018898
-172.365,-1049870
-172.359,-1080062
-172.353,-1109380
-172.347,-1137732
-172.341,-1165038
-172.335,-1191218
-172.329,-1216208
-172.323,-1239942
-172.317,-1262370
-172.311,-1283446
-172.305,-1303134
-172.299,-1321408
-172.293,-1338248
-172.287,-1353642
-172.281,-1367590
-172.275,-1380100
-172.268,-1391182
-172.262,-1400864
-172.256,-1409174
-172.25,-1416150
-172.244,-1421838
-172.238,-1426288
-172.232,-1429560
-172.226,-1431716
-172.22,-1432826
-172.214,-1432964
-172.208,-1432206
-172.202,-1430634
-172.196,-1428334
-172.19,-1425392
-172.184,-1421896
-172.178,-1417934
-172.172,-1413600
-172.166,-1408982
-172.16,-1404170
-172.154,-1399254
-172.148,-1394318
-172.142,-1389450
-172.136,-1384730
-172.13,-1380238
-172.124,-1376048
-172.118,-1372230
-172.111,-1368852
-172.105,-1365976
-172.099,-1363658
-172.093,-1361946
-172.087,-1360890
-172.081,-1360526
-172.075,-1360886
-172.069,-1362000
-172.063,-1363888
-172.057,-1366560
-172.051,-1370030
-172.045,-1374292
-172.039,-1379346
-172.033,-1385180
-172.027,-1391772
-172.021,-1399104
-172.015,-1407140
-172.009,-1415850
-172.003,-1425190
-171.997,-1435116
-171.991,-1445576
-171.985,-1456514
-171.979,-1467870
-171.973,-1479582
-171.967,-1491580
-171.96,-1503796
-171.954,-1516156
-171.948,-1528582
-171.942,-1540998
-171.936,-1553326
-171.93,-1565482
-171.924,-1577388
-171.918,-1588960
-171.912,-1600116
-171.906,-1610776
-171.9,-1620858
-171.894,-1630284
-171.888,-1638978
-171.882,-1646862
-171.876,-1653866
-171.87,-1659918
-171.864,-1664954
-171.858,-1668910
-171.852,-1671728
-171.846,-1673354
-171.84,-1673736
-171.834,-1672834
-171.828,-1670604
-171.822,-1667016
-171.816,-1662040
-171.81,-1655654
-171.803,-1647844
-171.797,-1638600
-171.791,-1627920
-171.785,-1615806
-171.779,-1602272
-171.773,-1587334
-171.767,-1571016
-171.761,-1553350
-171.755,-1534376
-171.749,-1514136
-171.743,-1492684
-171.737,-1470076
-171.731,-1446378
-171.725,-1421662
-171.719,-1396004
-171.713,-1369484
-171.707,-1342194
-171.701,-1314222
-171.695,-1285668
-171.689,-1256634
-171.683,-1227222
-171.677,-1197544
-171.671,-1167710
-171.665,-1137832
-171.659,-1108026
-171.653,-1078410
-171.646,-1049098
-171.64,-1020210
-171.634,-991858
-171.628,-964160
-171.622,-937228
-171.616,-911170
-171.61,-886096
-171.604,-862106
-171.598,-839298
-171.592,-817768
-171.586,-797602
-171.58,-778882
-171.574,-761682
-171.568,-746070
-171.562,-732102
-171.556,-719832
-171.55,-709302
-171.544,-700544
-171.538,-693582
-171.532,-688432
-171.526,-685096
-171.52,-683572
-171.514,-683842
-171.508,-685882
-171.502,-689656
-171.495,-695118
-171.489,-702214
-171.483,-710878
-171.477,-721040
-171.471,-732612
-171.465,-745508
-171.459,-759626
-171.453,-774862
-171.447,-791100
-171.441,-808222
-171.435,-826104
-171.429,-844616
-171.423,-863624
-171.417,-882992
-171.411,-902580
-171.405,-922248
-171.399,-941856
-171.393,-961260
-171.387,-980324
-171.381,-998908
-171.375,-1016878
-171.369,-1034102
-171.363,-1050458
-171.357,-1065822
-171.351,-1080082
-171.345,-1093132
-171.338,-1104870
-171.332,-1115208
-171.326,-1124064
-171.32,-1131368
-171.314,-1137060
-171.308,-1141086
-171.302,-1143410
-171.296,-1144004
-171.29,-1142854
-171.284,-1139952
-171.278,-1135306
-171.272,-1128940
-171.266,-1120882
-171.26,-1111176
-171.254,-1099878
-171.248,-1087050
-171.242,-1072772
-171.236,-1057128
