ppm,intensity,intensity_shifted
529.854,-1.2943,1097.4114
529.84,-1.30025,1097.3995
529.825,-1.30426,1097.39148
529.811,-1.30642,1097.38716
529.797,-1.30683,1097.38634
529.782,-1.3056,1097.3888
529.768,-1.30283,1097.39434
529.753,-1.29866,1097.40268
529.739,-1.29318,1097.41364
529.724,-1.28654,1097.42692
529.71,-1.27884,1097.44232
529.695,-1.27022,1097.45956
529.681,-1.2608,1097.4784
529.667,-1.25069,1097.49862
529.652,-1.24003,1097.51994
529.638,-1.22893,1097.54214
529.623,-1.2175,1097.565
529.609,-1.20587,1097.58826
529.594,-1.19412,1097.61176
529.58,-1.18237,1097.63526
529.565,-1.17072,1097.65856
529.551,-1.15924,1097.68152
529.537,-1.14802,1097.70396
529.522,-1.13713,1097.72574
529.508,-1.12664,1097.74672
529.493,-1.11661,1097.76678
529.479,-1.10708,1097.78584
529.464,-1.09808,1097.80384
529.45,-1.08966,1097.82068
529.435,-1.08182,1097.83636
529.421,-1.07458,1097.85084
529.407,-1.06794,1097.86412
529.392,-1.06189,1097.87622
529.378,-1.05641,1097.88718
529.363,-1.05147,1097.89706
529.349,-1.04704,1097.90592
529.334,-1.04306,1097.91388
529.32,-1.03949,1097.92102
529.305,-1.03626,1097.92748
529.291,-1.03331,1097.93338
529.277,-1.03055,1097.9389
529.262,-1.02792,1097.94416
529.248,-1.0253,1097.9494
529.233,-1.02263,1097.95474
529.219,-1.01978,1097.96044
529.204,-1.01668,1097.96664
529.19,-1.01321,1097.97358
529.175,-1.00927,1097.98146
529.161,-1.00474,1097.99052
529.147,-0.999529,1098.000942
529.132,-0.993521,1098.012958
529.118,-0.986609,1098.026782
529.103,-0.978691,1098.042618
529.089,-0.969662,1098.060676
529.074,-0.959425,1098.08115
529.06,-0.947883,1098.104234
529.045,-0.934947,1098.130106
529.031,-0.920532,1098.158936
529.017,-0.904557,1098.190886
529.002,-0.886953,1098.226094
528.988,-0.86765,1098.2647
528.973,-0.846593,1098.306814
528.959,-0.823732,1098.352536
528.944,-0.799024,1098.401952
528.93,-0.772439,1098.455122
528.915,-0.74395,1098.5121
528.901,-0.713544,1098.572912
528.887,-0.681217,1098.637566
528.872,-0.646971,1098.706058
528.858,-0.610824,1098.778352
528.843,-0.572796,1098.854408
528.829,-0.532922,1098.934156
528.814,-0.491244,1099.017512
528.8,-0.447814,1099.104372
528.786,-0.402691,1099.194618
528.771,-0.355946,1099.288108
528.757,-0.307655,1099.38469
528.742,-0.257904,1099.484192
528.728,-0.206784,1099.586432
528.713,-0.154395,1099.69121
528.699,-0.100843,1099.798314
528.684,-0.0462379,1099.907524
528.67,0.00930391,1100.018608
528.656,0.0656598,1100.13132
528.641,0.122705,1100.24541
528.627,0.180316,1100.360632
528.612,0.238359,1100.476718
528.598,0.296704,1100.593408
528.583,0.355218,1100.710436
528.569,0.413766,1100.827532
528.554,0.472218,1100.944436
528.54,0.530439,1101.060878
528.526,0.588304,1101.176608
528.511,0.64568,1101.29136
528.497,0.702447,1101.404894
528.482,0.758481,1101.516962
528.468,0.813668,1101.627336
528.453,0.867895,1101.73579
528.439,0.921055,1101.84211
528.424,0.973048,1101.946096
528.41,1.02378,1102.04756
528.396,1.07316,1102.14632
528.381,1.12111,1102.24222
528.367,1.16756,1102.33512
528.352,1.21243,1102.42486
528.338,1.25567,1102.51134
528.323,1.29723,1102.59446
528.309,1.33705,1102.6741
528.294,1.37512,1102.75024
528.28,1.41139,1102.82278
528.266,1.44584,1102.89168
528.251,1.47847,1102.95694
528.237,1.50925,1103.0185
528.222,1.53821,1103.07642
528.208,1.56532,1103.13064
528.193,1.59063,1103.18126
528.179,1.61413,1103.22826
528.164,1.63585,1103.2717
528.15,1.65582,1103.31164
528.136,1.67408,1103.34816
528.121,1.69066,1103.38132
528.107,1.7056,1103.4112
528.092,1.71895,1103.4379
528.078,1.73075,1103.4615
528.063,1.74105,1103.4821
528.049,1.74989,1103.49978
528.034,1.75733,1103.51466
528.02,1.76341,1103.52682
528.006,1.76819,1103.53638
527.991,1.77172,1103.54344
527.977,1.77403,1103.54806
527.962,1.77518,1103.55036
527.948,1.77521,1103.55042
527.933,1.77415,1103.5483
527.919,1.77204,1103.54408
527.904,1.76893,1103.53786
527.89,1.76482,1103.52964
527.876,1.75976,1103.51952
527.861,1.75375,1103.5075
527.847,1.74683,1103.49366
527.832,1.73899,1103.47798
527.818,1.73024,1103.46048
527.803,1.72059,1103.44118
527.789,1.71004,1103.42008
527.774,1.69857,1103.39714
527.76,1.68617,1103.37234
527.746,1.67283,1103.34566
527.731,1.65853,1103.31706
527.717,1.64324,1103.28648
527.702,1.62694,1103.25388
527.688,1.60959,1103.21918
527.673,1.59116,1103.18232
527.659,1.57162,1103.14324
527.644,1.55092,1103.10184
527.63,1.52904,1103.05808
527.616,1.50592,1103.01184
527.601,1.48154,1102.96308
527.587,1.45584,1102.91168
527.572,1.4288,1102.8576
527.558,1.40038,1102.80076
527.543,1.37053,1102.74106
527.529,1.33924,1102.67848
527.514,1.30647,1102.61294
527.5,1.2722,1102.5444
527.486,1.23641,1102.47282
527.471,1.19909,1102.39818
527.457,1.16023,1102.32046
527.442,1.11982,1102.23964
527.428,1.07787,1102.15574
527.413,1.0344,1102.0688
527.399,0.989428,1101.978856
527.384,0.942974,1101.885948
527.37,0.89508,1101.79016
527.356,0.845789,1101.691578
527.341,0.795155,1101.59031
527.327,0.743242,1101.486484
527.312,0.69012,1101.38024
527.298,0.63587,1101.27174
527.283,0.580583,1101.161166
527.269,0.524356,1101.048712
527.254,0.467298,1100.934596
527.24,0.409523,1100.819046
527.226,0.351157,1100.702314
527.211,0.292331,1100.584662
527.197,0.233184,1100.466368
527.182,0.173864,1100.347728
527.168,0.114524,1100.229048
527.153,0.0553223,1100.110645
527.139,-0.00357812,1099.992844
527.125,-0.062007,1099.875986
527.11,-0.119792,1099.760416
527.096,-0.176758,1099.646484
527.081,-0.232726,1099.534548
527.067,-0.287517,1099.424966
527.052,-0.340952,1099.318096
527.038,-0.392852,1099.214296
527.023,-0.443036,1099.113928
527.009,-0.49133,1099.01734
526.995,-0.537561,1098.924878
526.98,-0.581559,1098.836882
526.966,-0.623161,1098.753678
526.951,-0.662209,1098.675582
526.937,-0.698552,1098.602896
526.922,-0.732045,1098.53591
526.908,-0.762554,1098.474892
526.893,-0.789952,1098.420096
526.879,-0.814124,1098.371752
526.865,-0.834967,1098.330066
526.85,-0.852385,1098.29523
526.836,-0.866298,1098.267404
526.821,-0.876637,1098.246726
526.807,-0.883346,1098.233308
526.792,-0.886386,1098.227228
526.778,-0.885726,1098.228548
526.763,-0.881355,1098.23729
526.749,-0.873273,1098.253454
526.735,-0.861498,1098.277004
526.72,-0.846059,1098.307882
526.706,-0.827002,1098.345996
526.691,-0.804388,1098.391224
526.677,-0.778293,1098.443414
526.662,-0.748804,1098.502392
526.648,-0.716026,1098.567948
526.633,-0.680076,1098.639848
526.619,-0.641084,1098.717832
526.605,-0.599194,1098.801612
