ppm,Intensity
-134.829,142850
-134.823,125441.5
-134.817,100358.5
-134.811,67309.5
-134.805,26252.45
-134.799,-22601.05
-134.793,-78788
-134.787,-141608
-134.781,-210146.5
-134.775,-283311.5
-134.769,-359872
-134.763,-438505.5
-134.757,-517850
-134.751,-596550
-134.745,-673320
-134.739,-746980
-134.733,-816500
-134.727,-881030
-134.721,-939950
-134.715,-992845
-134.708,-1039550
-134.702,-1080125
-134.696,-1114830
-134.69,-1144120
-134.684,-1168600
-134.678,-1188990
-134.672,-1206075
-134.666,-1220660
-134.66,-1233530
-134.654,-1245395
-134.648,-1256860
-134.642,-1268385
-134.636,-1280260
-134.63,-1292590
-134.624,-1305295
-134.618,-1318095
-134.612,-1330545
-134.606,-1342035
-134.6,-1351845
-134.594,-1359155
-134.588,-1363110
-134.582,-1362845
-134.576,-1357535
-134.57,-1346455
-134.564,-1328980
-134.558,-1304665
-134.551,-1273230
-134.545,-1234600
-134.539,-1188915
-134.533,-1136525
-134.527,-1077980
-134.521,-1014010
-134.515,-945510
-134.509,-873500
-134.503,-799080
-134.497,-723415
-134.491,-647665
-134.485,-572975
-134.479,-500395
-134.473,-430898.5
-134.467,-365304
-134.461,-304284.5
-134.455,-248339
-134.449,-197786.5
-134.443,-152766.5
-134.437,-113246
-134.431,-79031
-134.425,-49787.1
-134.419,-25063
-134.413,-4316.895
-134.407,13055.2
-134.4,27690.9
-134.394,40231.95
-134.388,51299
-134.382,61468.5
-134.376,71254
-134.37,81091
-134.364,91325.5
-134.358,102213.5
-134.352,113911
-134.346,126488
-134.34,139924.5
-134.334,154126.5
-134.328,168935
-134.322,184136
-134.316,199476
-134.31,214669
-134.304,229412
-134.298,243392.5
-134.292,256294.5
-134.286,267807.5
-134.28,277630
-134.274,285469.5
-134.268,291051
-134.262,294112.5
-134.256,294410
-134.25,291720.5
-134.243,285842
-134.237,276599.5
-134.231,263850
-134.225,247490.5
-134.219,227465
-134.213,203773
-134.207,176481
-134.201,145730
-134.195,111745
-134.189,74840.5
-134.183,35425.3
-134.177,-5995.1
-134.171,-48825.2
-134.165,-92381.5
-134.159,-135908
-134.153,-178591.5
-134.147,-219580
-134.141,-258011
-134.135,-293036
-134.129,-323851.5
-134.123,-349729.5
-134.117,-370047
-134.111,-384314.5
-134.105,-392202
-134.099,-393558
-134.093,-388424
-134.086,-377042.5
-134.08,-359856.5
-134.074,-337501
-134.068,-310785.5
-134.062,-280671
-134.056,-248236
-134.05,-214642
-134.044,-181088
-134.038,-148765.5
-134.032,-118814
