,x,y,system
224,7.919,530.0,CHA/AEI_calcined
225,7.932,537.0,CHA/AEI_calcined
226,7.945,529.0,CHA/AEI_calcined
227,7.958,528.0,CHA/AEI_calcined
228,7.971,526.0,CHA/AEI_calcined
229,7.984,529.0,CHA/AEI_calcined
230,7.997,528.0,CHA/AEI_calcined
231,8.01,531.0,CHA/AEI_calcined
232,8.023,523.0,CHA/AEI_calcined
233,8.036,531.0,CHA/AEI_calcined
234,8.049,527.0,CHA/AEI_calcined
235,8.062,522.0,CHA/AEI_calcined
236,8.075,533.0,CHA/AEI_calcined
237,8.088,532.0,CHA/AEI_calcined
238,8.101,528.0,CHA/AEI_calcined
239,8.114,529.0,CHA/AEI_calcined
240,8.127,527.0,CHA/AEI_calcined
241,8.14,532.0,CHA/AEI_calcined
242,8.153,531.0,CHA/AEI_calcined
243,8.166,532.0,CHA/AEI_calcined
244,8.179,531.0,CHA/AEI_calcined
245,8.192,525.0,CHA/AEI_calcined
246,8.205,528.0,CHA/AEI_calcined
247,8.218,532.0,CHA/AEI_calcined
248,8.231,527.0,CHA/AEI_calcined
249,8.244,524.0,CHA/AEI_calcined
250,8.257,529.0,CHA/AEI_calcined
251,8.27,534.0,CHA/AEI_calcined
252,8.283,530.0,CHA/AEI_calcined
253,8.296,531.0,CHA/AEI_calcined
254,8.309,538.0,CHA/AEI_calcined
255,8.322,536.0,CHA/AEI_calcined
256,8.335,533.0,CHA/AEI_calcined
257,8.348,534.0,CHA/AEI_calcined
258,8.361,540.0,CHA/AEI_calcined
259,8.374,537.0,CHA/AEI_calcined
260,8.387,537.0,CHA/AEI_calcined
261,8.4,539.0,CHA/AEI_calcined
262,8.413,531.0,CHA/AEI_calcined
263,8.426,533.0,CHA/AEI_calcined
264,8.439,535.0,CHA/AEI_calcined
265,8.452,541.0,CHA/AEI_calcined
266,8.465,537.0,CHA/AEI_calcined
267,8.478,538.0,CHA/AEI_calcined
268,8.491,537.0,CHA/AEI_calcined
269,8.504,538.0,CHA/AEI_calcined
270,8.517,533.0,CHA/AEI_calcined
271,8.53,546.0,CHA/AEI_calcined
272,8.543,542.0,CHA/AEI_calcined
273,8.556,545.0,CHA/AEI_calcined
274,8.569,546.0,CHA/AEI_calcined
275,8.582,545.0,CHA/AEI_calcined
276,8.595,551.0,CHA/AEI_calcined
277,8.608,555.0,CHA/AEI_calcined
278,8.621,558.0,CHA/AEI_calcined
279,8.634,555.0,CHA/AEI_calcined
280,8.647,555.0,CHA/AEI_calcined
281,8.66,560.0,CHA/AEI_calcined
282,8.673,557.0,CHA/AEI_calcined
283,8.686,558.0,CHA/AEI_calcined
284,8.699,548.0,CHA/AEI_calcined
285,8.712,549.0,CHA/AEI_calcined
286,8.725,563.0,CHA/AEI_calcined
287,8.738,555.0,CHA/AEI_calcined
288,8.751,557.0,CHA/AEI_calcined
289,8.764,572.0,CHA/AEI_calcined
290,8.777,566.0,CHA/AEI_calcined
291,8.79,562.0,CHA/AEI_calcined
292,8.803,570.0,CHA/AEI_calcined
293,8.816,573.0,CHA/AEI_calcined
294,8.829,577.0,CHA/AEI_calcined
295,8.842,586.0,CHA/AEI_calcined
296,8.855,593.0,CHA/AEI_calcined
297,8.868,590.0,CHA/AEI_calcined
298,8.881,601.0,CHA/AEI_calcined
299,8.894,604.0,CHA/AEI_calcined
300,8.907,603.0,CHA/AEI_calcined
301,8.92,625.0,CHA/AEI_calcined
302,8.933,628.0,CHA/AEI_calcined
303,8.946,632.0,CHA/AEI_calcined
304,8.959,637.0,CHA/AEI_calcined
305,8.972,645.0,CHA/AEI_calcined
306,8.985,657.0,CHA/AEI_calcined
307,8.998,675.0,CHA/AEI_calcined
308,9.011,690.0,CHA/AEI_calcined
309,9.024,706.0,CHA/AEI_calcined
310,9.037,708.0,CHA/AEI_calcined
311,9.05,726.0,CHA/AEI_calcined
312,9.063,750.0,CHA/AEI_calcined
313,9.076,771.0,CHA/AEI_calcined
314,9.089,781.0,CHA/AEI_calcined
315,9.102,803.0,CHA/AEI_calcined
316,9.115,830.0,CHA/AEI_calcined
317,9.128,839.0,CHA/AEI_calcined
318,9.141,881.0,CHA/AEI_calcined
319,9.154,909.0,CHA/AEI_calcined
320,9.167,947.0,CHA/AEI_calcined
321,9.18,992.0,CHA/AEI_calcined
322,9.193,1024.0,CHA/AEI_calcined
323,9.206,1070.0,CHA/AEI_calcined
324,9.219,1123.0,CHA/AEI_calcined
325,9.232,1175.0,CHA/AEI_calcined
326,9.245,1230.0,CHA/AEI_calcined
327,9.258,1280.0,CHA/AEI_calcined
328,9.271,1339.0,CHA/AEI_calcined
329,9.284,1412.0,CHA/AEI_calcined
330,9.297,1499.0,CHA/AEI_calcined
331,9.31,1572.0,CHA/AEI_calcined
332,9.323,1648.0,CHA/AEI_calcined
333,9.336,1771.0,CHA/AEI_calcined
334,9.349,1880.0,CHA/AEI_calcined
335,9.362,1994.0,CHA/AEI_calcined
336,9.375,2120.0,CHA/AEI_calcined
337,9.388,2257.0,CHA/AEI_calcined
338,9.401,2423.0,CHA/AEI_calcined
339,9.414,2612.0,CHA/AEI_calcined
340,9.427,2798.0,CHA/AEI_calcined
341,9.44,3011.0,CHA/AEI_calcined
342,9.453,3263.0,CHA/AEI_calcined
343,9.466,3507.0,CHA/AEI_calcined
344,9.479,3786.0,CHA/AEI_calcined
345,9.492,4107.0,CHA/AEI_calcined
346,9.505,4410.0,CHA/AEI_calcined
347,9.518,4742.0,CHA/AEI_calcined
348,9.531,5065.0,CHA/AEI_calcined
349,9.544,5344.0,CHA/AEI_calcined
350,9.557,5606.0,CHA/AEI_calcined
351,9.57,5790.0,CHA/AEI_calcined
352,9.583,5838.0,CHA/AEI_calcined
353,9.596,5721.0,CHA/AEI_calcined
354,9.609,5416.0,CHA/AEI_calcined
355,9.622,4970.0,CHA/AEI_calcined
356,9.635,4420.0,CHA/AEI_calcined
357,9.648,3825.0,CHA/AEI_calcined
358,9.661,3289.0,CHA/AEI_calcined
359,9.674,2829.0,CHA/AEI_calcined
360,9.687,2431.0,CHA/AEI_calcined
361,9.7,2103.0,CHA/AEI_calcined
362,9.713,1851.0,CHA/AEI_calcined
363,9.726,1653.0,CHA/AEI_calcined
364,9.739,1501.0,CHA/AEI_calcined
365,9.752,1367.0,CHA/AEI_calcined
366,9.765,1273.0,CHA/AEI_calcined
367,9.778,1199.0,CHA/AEI_calcined
368,9.791,1133.0,CHA/AEI_calcined
369,9.804,1065.0,CHA/AEI_calcined
370,9.817,1018.0,CHA/AEI_calcined
371,9.83,987.0,CHA/AEI_calcined
372,9.843,951.0,CHA/AEI_calcined
373,9.856,906.0,CHA/AEI_calcined
374,9.869,885.0,CHA/AEI_calcined
375,9.882,867.0,CHA/AEI_calcined
376,9.895,838.0,CHA/AEI_calcined
377,9.908,820.0,CHA/AEI_calcined
378,9.921,797.0,CHA/AEI_calcined
379,9.934,785.0,CHA/AEI_calcined
380,9.947,771.0,CHA/AEI_calcined
381,9.96,766.0,CHA/AEI_calcined
382,9.973,743.0,CHA/AEI_calcined
383,9.986,736.0,CHA/AEI_calcined
384,9.999,729.0,CHA/AEI_calcined
385,10.012,709.0,CHA/AEI_calcined
386,10.025,702.0,CHA/AEI_calcined
387,10.038,701.0,CHA/AEI_calcined
388,10.051,685.0,CHA/AEI_calcined
389,10.064,676.0,CHA/AEI_calcined
390,10.077,681.0,CHA/AEI_calcined
391,10.09,671.0,CHA/AEI_calcined
392,10.103,657.0,CHA/AEI_calcined
393,10.116,650.0,CHA/AEI_calcined
394,10.129,661.0,CHA/AEI_calcined
395,10.142,654.0,CHA/AEI_calcined
396,10.155,649.0,CHA/AEI_calcined
397,10.168,630.0,CHA/AEI_calcined
398,10.181,646.0,CHA/AEI_calcined
399,10.194,628.0,CHA/AEI_calcined
400,10.207,628.0,CHA/AEI_calcined
401,10.22,626.0,CHA/AEI_calcined
402,10.233,623.0,CHA/AEI_calcined
403,10.246,611.0,CHA/AEI_calcined
404,10.259,621.0,CHA/AEI_calcined
405,10.272,609.0,CHA/AEI_calcined
406,10.285,603.0,CHA/AEI_calcined
407,10.298,599.0,CHA/AEI_calcined
408,10.311,599.0,CHA/AEI_calcined
409,10.324,595.0,CHA/AEI_calcined
410,10.337,606.0,CHA/AEI_calcined
411,10.35,589.0,CHA/AEI_calcined
412,10.363,587.0,CHA/AEI_calcined
413,10.376,594.0,CHA/AEI_calcined
414,10.389,589.0,CHA/AEI_calcined
415,10.402,582.0,CHA/AEI_calcined
416,10.415,588.0,CHA/AEI_calcined
417,10.428,584.0,CHA/AEI_calcined
418,10.441,574.0,CHA/AEI_calcined
419,10.454,577.0,CHA/AEI_calcined
420,10.467,574.0,CHA/AEI_calcined
421,10.48,582.0,CHA/AEI_calcined
422,10.493,578.0,CHA/AEI_calcined
423,10.506,570.0,CHA/AEI_calcined
424,10.519,565.0,CHA/AEI_calcined
425,10.532,564.0,CHA/AEI_calcined
426,10.545,569.0,CHA/AEI_calcined
427,10.558,567.0,CHA/AEI_calcined
428,10.571,573.0,CHA/AEI_calcined
429,10.584,567.0,CHA/AEI_calcined
430,10.597,567.0,CHA/AEI_calcined
431,10.61,553.0,CHA/AEI_calcined
432,10.623,556.0,CHA/AEI_calcined
433,10.636,556.0,CHA/AEI_calcined
434,10.649,555.0,CHA/AEI_calcined
435,10.662,552.0,CHA/AEI_calcined
436,10.675,549.0,CHA/AEI_calcined
437,10.688,544.0,CHA/AEI_calcined
438,10.701,551.0,CHA/AEI_calcined
439,10.714,554.0,CHA/AEI_calcined
440,10.727,556.0,CHA/AEI_calcined
441,10.74,548.0,CHA/AEI_calcined
442,10.753,542.0,CHA/AEI_calcined
443,10.766,538.0,CHA/AEI_calcined
444,10.779,539.0,CHA/AEI_calcined
445,10.792,535.0,CHA/AEI_calcined
446,10.805,529.0,CHA/AEI_calcined
447,10.818,538.0,CHA/AEI_calcined
448,10.831,545.0,CHA/AEI_calcined
449,10.844,542.0,CHA/AEI_calcined
450,10.857,534.0,CHA/AEI_calcined
451,10.87,530.0,CHA/AEI_calcined
452,10.883,531.0,CHA/AEI_calcined
453,10.896,535.0,CHA/AEI_calcined
454,10.909,533.0,CHA/AEI_calcined
455,10.922,536.0,CHA/AEI_calcined
456,10.935,534.0,CHA/AEI_calcined
457,10.948,524.0,CHA/AEI_calcined
458,10.961,524.0,CHA/AEI_calcined
459,10.974,521.0,CHA/AEI_calcined
460,10.987,529.0,CHA/AEI_calcined
461,11.0,532.0,CHA/AEI_calcined
462,11.013,521.0,CHA/AEI_calcined
463,11.026,524.0,CHA/AEI_calcined
464,11.039,529.0,CHA/AEI_calcined
465,11.052,530.0,CHA/AEI_calcined
466,11.065,528.0,CHA/AEI_calcined
467,11.078,521.0,CHA/AEI_calcined
468,11.091,508.0,CHA/AEI_calcined
469,11.104,514.0,CHA/AEI_calcined
470,11.117,516.0,CHA/AEI_calcined
471,11.13,519.0,CHA/AEI_calcined
472,11.143,522.0,CHA/AEI_calcined
473,11.156,515.0,CHA/AEI_calcined
474,11.169,511.0,CHA/AEI_calcined
475,11.182,521.0,CHA/AEI_calcined
476,11.195,510.0,CHA/AEI_calcined
477,11.208,507.0,CHA/AEI_calcined
478,11.221,506.0,CHA/AEI_calcined
479,11.234,507.0,CHA/AEI_calcined
480,11.247,503.0,CHA/AEI_calcined
481,11.26,501.0,CHA/AEI_calcined
482,11.273,499.0,CHA/AEI_calcined
483,11.286,495.0,CHA/AEI_calcined
484,11.299,495.0,CHA/AEI_calcined
485,11.312,510.0,CHA/AEI_calcined
486,11.325,503.0,CHA/AEI_calcined
487,11.338,514.0,CHA/AEI_calcined
488,11.351,495.0,CHA/AEI_calcined
489,11.364,503.0,CHA/AEI_calcined
490,11.377,504.0,CHA/AEI_calcined
491,11.39,498.0,CHA/AEI_calcined
492,11.403,494.0,CHA/AEI_calcined
493,11.416,503.0,CHA/AEI_calcined
494,11.429,493.0,CHA/AEI_calcined
495,11.442,492.0,CHA/AEI_calcined
496,11.455,496.0,CHA/AEI_calcined
497,11.468,498.0,CHA/AEI_calcined
498,11.481,494.0,CHA/AEI_calcined
499,11.494,488.0,CHA/AEI_calcined
500,11.507,493.0,CHA/AEI_calcined
501,11.52,501.0,CHA/AEI_calcined
502,11.533,493.0,CHA/AEI_calcined
503,11.546,490.0,CHA/AEI_calcined
504,11.559,488.0,CHA/AEI_calcined
505,11.572,501.0,CHA/AEI_calcined
506,11.585,496.0,CHA/AEI_calcined
507,11.598,490.0,CHA/AEI_calcined
508,11.611,506.0,CHA/AEI_calcined
509,11.624,497.0,CHA/AEI_calcined
510,11.637,480.0,CHA/AEI_calcined
511,11.65,482.0,CHA/AEI_calcined
512,11.663,490.0,CHA/AEI_calcined
513,11.676,486.0,CHA/AEI_calcined
514,11.689,497.0,CHA/AEI_calcined
515,11.702,489.0,CHA/AEI_calcined
516,11.715,495.0,CHA/AEI_calcined
517,11.728,492.0,CHA/AEI_calcined
