,Wavenumber,Absolute_R,osda
281,14.68342676,98.88942719,spiro-Co
282,14.70009375,98.8744812,spiro-Co
283,14.71676074,98.85700989,spiro-Co
284,14.73342773,98.84964752,spiro-Co
285,14.75009473,98.82330322,spiro-Co
286,14.766761719999998,98.82418059999999,spiro-Co
287,14.78342871,98.85214996,spiro-Co
288,14.8000957,98.82245636,spiro-Co
289,14.8167627,98.85195159999999,spiro-Co
290,14.833429690000001,98.82093811,spiro-Co
291,14.85009668,98.80992889,spiro-Co
292,14.86676367,98.80358887,spiro-Co
293,14.88343066,98.84233856,spiro-Co
294,14.90009766,98.81401825,spiro-Co
295,14.91676465,98.84021759,spiro-Co
296,14.93343164,98.83170319,spiro-Co
297,14.950098630000001,98.85451508,spiro-Co
298,14.966765630000001,98.83029938,spiro-Co
299,14.98343262,98.80318451,spiro-Co
300,15.00009961,98.8247757,spiro-Co
301,15.0167666,98.77919769,spiro-Co
302,15.033433590000001,98.81985474,spiro-Co
303,15.05010059,98.75520325,spiro-Co
304,15.066767580000002,98.79490662,spiro-Co
305,15.08343457,98.74758911,spiro-Co
306,15.100101559999999,98.82463837,spiro-Co
307,15.116768550000002,98.79283905,spiro-Co
308,15.13343555,98.74664307,spiro-Co
309,15.15010254,98.79067993,spiro-Co
310,15.166769530000002,98.69853973,spiro-Co
311,15.183436519999999,98.74057007,spiro-Co
312,15.200103519999999,98.76773071,spiro-Co
313,15.21677051,98.72851563,spiro-Co
314,15.2334375,98.74494171,spiro-Co
315,15.25010449,98.74314117,spiro-Co
316,15.266771480000001,98.74652863,spiro-Co
317,15.283438480000001,98.72560883,spiro-Co
318,15.300105469999998,98.71660614,spiro-Co
319,15.31677246,98.73856354,spiro-Co
320,15.33343945,98.75149536,spiro-Co
321,15.35010645,98.74787903,spiro-Co
322,15.366773440000001,98.70336151,spiro-Co
323,15.38344043,98.67462158,spiro-Co
324,15.400107419999998,98.75899506,spiro-Co
325,15.41677441,98.71941376,spiro-Co
326,15.433441409999999,98.71383667,spiro-Co
327,15.4501084,98.68795013,spiro-Co
328,15.46677539,98.74521637,spiro-Co
329,15.48344238,98.72206116,spiro-Co
330,15.500109380000001,98.70919037,spiro-Co
331,15.516776369999999,98.71724701,spiro-Co
332,15.53344336,98.7155304,spiro-Co
333,15.55011035,98.70076752,spiro-Co
334,15.56677734,98.71976471,spiro-Co
335,15.58344434,98.70481873,spiro-Co
336,15.60011133,98.68967438,spiro-Co
337,15.61677832,98.67234802,spiro-Co
338,15.633445309999999,98.67803955,spiro-Co
339,15.6501123,98.65129089,spiro-Co
340,15.6667793,98.70066071,spiro-Co
341,15.68344629,98.68648529,spiro-Co
342,15.700113280000002,98.74036407,spiro-Co
343,15.71678125,98.71074677,spiro-Co
344,15.73344824,98.70127869,spiro-Co
345,15.75011523,98.70130157,spiro-Co
346,15.76678223,98.69470978,spiro-Co
347,15.783449219999998,98.66696167,spiro-Co
348,15.80011621,98.68357086,spiro-Co
349,15.8167832,98.722229,spiro-Co
350,15.8334502,98.71343994,spiro-Co
351,15.85011719,98.71738434,spiro-Co
352,15.86678418,98.69960022,spiro-Co
353,15.883451169999999,98.71896362,spiro-Co
354,15.90011816,98.7074585,spiro-Co
355,15.91678516,98.68785858,spiro-Co
356,15.933452149999999,98.71803284,spiro-Co
357,15.95011914,98.67745972,spiro-Co
358,15.966786130000001,98.70005035,spiro-Co
359,15.983453130000001,98.67689514,spiro-Co
360,16.00012012,98.68806458,spiro-Co
361,16.01678711,98.65622711,spiro-Co
362,16.0334541,98.6802063,spiro-Co
363,16.05012109,98.69635009999999,spiro-Co
364,16.06678809,98.69035339,spiro-Co
365,16.08345508,98.68966675,spiro-Co
366,16.10012207,98.69430542,spiro-Co
367,16.11678906,98.68475342,spiro-Co
368,16.13345605,98.64039612,spiro-Co
369,16.15012305,98.63596344,spiro-Co
370,16.16679004,98.63895416,spiro-Co
371,16.183457030000003,98.60974884,spiro-Co
372,16.20012402,98.62621307,spiro-Co
373,16.21679102,98.59645081,spiro-Co
374,16.23345801,98.62944031,spiro-Co
375,16.250125,98.61376953,spiro-Co
376,16.266791989999998,98.59731293,spiro-Co
377,16.283458980000002,98.57902527,spiro-Co
378,16.30012598,98.59055328,spiro-Co
379,16.316792969999998,98.52013397,spiro-Co
380,16.33345996,98.54914856,spiro-Co
381,16.35012695,98.49187469,spiro-Co
382,16.366793949999998,98.49071503,spiro-Co
383,16.38346094,98.54070282,spiro-Co
384,16.40012695,98.46333313,spiro-Co
385,16.41679492,98.48180389,spiro-Co
386,16.43346094,98.41551971,spiro-Co
387,16.45012891,98.43965912,spiro-Co
388,16.46679492,98.43041229,spiro-Co
389,16.48346289,98.45307922,spiro-Co
390,16.50012891,98.42321777,spiro-Co
391,16.51679688,98.34759521,spiro-Co
392,16.53346289,98.36088562,spiro-Co
393,16.55013086,98.31975555,spiro-Co
394,16.566796880000002,98.30855559999999,spiro-Co
395,16.58346484,98.2674942,spiro-Co
396,16.60013086,98.24095917,spiro-Co
397,16.61679883,98.2374649,spiro-Co
398,16.633464840000002,98.19956207,spiro-Co
399,16.65013281,98.20716095,spiro-Co
400,16.66679883,98.18808746,spiro-Co
401,16.683466799999998,98.16174316,spiro-Co
402,16.70013281,98.11728668,spiro-Co
403,16.71680078,98.09804535,spiro-Co
404,16.7334668,98.05082703,spiro-Co
405,16.75013477,98.04184723,spiro-Co
406,16.76680078,98.02082062,spiro-Co
407,16.78346875,97.98861694,spiro-Co
408,16.800136719999998,97.96247101,spiro-Co
409,16.81680273,97.96025848,spiro-Co
410,16.833470700000003,97.92033386,spiro-Co
411,16.85013672,97.89028168,spiro-Co
412,16.866804690000002,97.81086731,spiro-Co
413,16.8834707,97.87878418,spiro-Co
414,16.90013867,97.85394287,spiro-Co
415,16.91680469,97.78879547,spiro-Co
416,16.93347266,97.80155182,spiro-Co
417,16.95013867,97.73664856,spiro-Co
418,16.966806639999998,97.70734406,spiro-Co
419,16.98347266,97.69416809,spiro-Co
420,17.00014063,97.64411926,spiro-Co
421,17.01680664,97.59907532,spiro-Co
422,17.033474610000003,97.61378479,spiro-Co
423,17.05014063,97.56002808,spiro-Co
424,17.06680859,97.49942779999999,spiro-Co
425,17.08347461,97.51029968,spiro-Co
426,17.10014258,97.47148895,spiro-Co
427,17.11680859,97.45384979,spiro-Co
428,17.13347656,97.46129608,spiro-Co
429,17.15014258,97.43025970000001,spiro-Co
430,17.166810549999997,97.38165283,spiro-Co
431,17.18347656,97.35140228,spiro-Co
432,17.200144530000003,97.35494232,spiro-Co
433,17.216810549999998,97.32226563,spiro-Co
434,17.233478520000002,97.29176331,spiro-Co
435,17.25014453,97.23387146,spiro-Co
436,17.2668125,97.22251129,spiro-Co
437,17.28347852,97.20219421,spiro-Co
438,17.30014648,97.19101715,spiro-Co
439,17.3168125,97.14084625,spiro-Co
440,17.333480469999998,97.12138367,spiro-Co
441,17.35014648,97.06641388,spiro-Co
442,17.366814450000003,97.0641098,spiro-Co
443,17.38348047,96.99563599,spiro-Co
444,17.400148440000002,97.00398254,spiro-Co
445,17.41681445,96.93357086,spiro-Co
446,17.43348242,96.91620636,spiro-Co
447,17.45014844,96.84727478,spiro-Co
448,17.46681641,96.88365936,spiro-Co
