SMILES,Axis 1 (Angstrom),Axis 2 (Angstrom),diff
CC(C)[N+]1(C)C[C@@H](C)C[C@H](C)C1,7.561162590265237,6.14928540811678,0.08354950946381123
CC(C)[N+]1(C)C[C@H](C)C[C@@H](C)C1,7.562505707077039,6.149511465157926,-0.21397357538334383
CC(C)[N@+]1(C)CCCC(C)(C)C1,7.949441163315867,5.531721361943543,-3.321843504510941
CC(C)[N@+]1(C)C[C@@H](C)C[C@@H](C)C1,6.8467575429373415,6.1381318382516215,2.8175796984748462
CC(C)[N@@+]1(C)CCCC(C)(C)C1,7.942562930661527,5.510129692669383,-5.0031908162135235
CC(C)[N@@+]1(C)C[C@@H](C)C[C@@H](C)C1,7.129536156496828,6.827139600366392,-0.9775873978198142
CC(C)[P+](C(C)C)(C(C)C)C(C)C,5.99190814358495,5.931584196265278,6.147191798596895
CC(C)[P+](C)(C(C)C)C(C)C,6.5519666860828085,6.549342647474459,1.865622278039801
CC(C)c1n(C)cc[n+]1C,6.018096277990082,5.429548843033691,-0.8685830385199171
CC(C)n1cc[n+](C(C)C)c1,7.6829852675850665,4.45275773420176,-2.4082854507906255
CC1(C)C=CC(C)(C)C[N+](C)(C)C1,7.157391116685679,5.9206917120894005,4.093447698077226
CC1(C)CCCC(C)(C)[N+]12CCCCC2,7.625730890526768,6.605344198700483,-0.05022844633842283
CC1(C)CCC[N+](C)(C)C1,6.795199387064588,4.064157982183674,1.0528648057318595
CC1(C)CCC[N+]2(CCCC2)C1,7.83100118233232,5.331546696047711,-3.4956840060609213
CC1(C)C[C@@H]2C[C@](C)(C1)C[N+]2(C)C,7.481877521387412,6.3499295468859325,3.7720714732402776
CC1(C)C[C@H]2C[C@@](C)(C1)C[N+]2(C)C,7.4691570936753555,6.34791021075889,3.646061603821087
CC1(C)[C@@H]2CCC[N+](C)(C)[C@@H]1C2,6.854605158099314,5.256737872313375,3.67884559215633
CC1(C)[C@@H]2CC[C@@](C)(C2)C[N+]1(C)C,6.99879303755545,5.355000320104173,1.1558396904375527
CC1(C)[C@@H]2CC[C@@]1(C)C[N+](C)(C)C2,6.874612376837753,5.157826670612531,-2.8105010465762117
CC1(C)[C@@H]2CC[C@@]1(C)[C@@H]([N+](C)(C)C)C2,7.955176146385733,5.232903188138002,-3.5186482281757065
CC1(C)[C@@H]2CC[C@H](C[N+](C)(C)C)[C@H]1C2,8.326340750821734,5.644408663872706,-9.059329150229743
CC1(C)[C@@H]2C[C@H]1CCC[N+]2(C)C,6.871604196295756,5.372102420151872,0.2409614361798269
CC1(C)[C@@H]2C[C@H]1CCC[N+]21CCCCC1,8.463124208359877,5.768122994383768,-3.1845501866297177
CC1(C)[C@H]2CCC[N+](C)(C)[C@@H]1C2,6.885049821378665,5.833335959240147,2.651305173372757
CC1(C)[C@H]2CCC[N+](C)(C)[C@H]1C2,6.8708917281714115,5.370329584663038,1.570677602450159
CC1(C)[C@H]2CCC[N+]3(CCCCC3)[C@@H]1C2,8.462747716996503,5.740108058650223,-6.256412043790998
CC1(C)[C@H]2CC[C@](C)(C2)C[N+]1(C)C,6.995143750659026,5.525290599578448,-0.7193514115969677
CC1(C)[C@H]2CC[C@]1(C)C[N+](C)(C)C2,6.9069368927209664,5.269642255093157,-2.657905271505431
CC1(C)[C@H]2CC[C@]1(C)[C@H]([N+](C)(C)C)C2,7.947916188240661,5.335281458151048,-3.7293251616304417
CC12CC3C[C@@](C)(C1)C([NH3+])[C@](C)(C3)C2,6.883304757491572,6.008030039755299,2.258179894718589
CC12CC3C[C@@](C)(C1)C[C@](N)(C3)C2,6.702373303388632,6.048463921237272,3.7389912682849573
CC12CC3C[C@@](C)(C1)C[C@]([NH3+])(C3)C2,6.863079430746027,6.0537999905001225,13.067789392719423
CC1CCC[N@@+]12CCCC(C)(C)C2,7.952219539618762,5.041732198757578,-3.2347950488725346
CC1CCNCC1,5.783845849803798,4.299133325616607,0.037936746426700196
CC1CC[N+](C)(C)CC1,6.834985651903213,4.2858503622586,-0.19903916277122136
CCCN(CCC)CCC,5.952451792883228,5.925617438552573,1.0147477657718014
CCC[N+](C)(C)CCC,7.389666175142175,4.935921785396137,0.4551352654970433
CCC[N+]1(C)CCCC1,7.57556899514562,4.348878747606132,0.7927875647650193
CCC[N+]1(C)CCCCC1,8.490167281727881,4.681241996124706,-1.0810037162463448
CCC[N+]1(C2CCCCCCC2)CCCC1,8.036511995540288,7.184008153901218,-1.9187366738796774
CCC[N+]12CCC(CC1)CC2,8.204805773119894,4.613956433872153,-0.6821052387175204
CCC[NH+](CCC)CCC,6.193445950761649,5.9799489022026275,0.5561393036188562
CCCn1cc[n+](CCC)c1,8.316590037624053,4.7857768924334945,-1.188162539266255
CCN(C(C)C)C(C)C,5.854687893510842,5.7138147145550695,-0.3671669496789214
CCN(CC)CC,6.046087192684113,5.8276666229556575,-0.34838543301040836
CCN(CC)CCN,5.924624246433253,5.6886383276321535,1.2890655425215893
CCN(CC)CCO,5.990529728826215,5.880426919635795,0.3713426800409376
CCN(CC)[C@@H](C)O,5.915868205066838,5.427171641283766,0.18176508175500317
CCN(CC)[C@H](C)O,5.915676584174667,5.42714646507236,-3.057874213411502
CCN(CCO)CCO,6.172133198378184,5.809785100301036,
CCN1CCNCC1,7.199630962058452,4.556354760529533,0.045353606158860416
CCN1C[C@@H]2C[C@H](C1)C[N+]2(C)C,7.983221394966597,5.2274789408481315,-0.3123330381021674
CCN1C[C@@H]2C[C@H](C1)[N+](C)(C)C2,7.972640138379947,5.239210759669376,-0.35803423261141987
CC[C@@H](N)CCCN,7.259328801396794,4.079669058108344,0.2383294105691096
CC[C@@H]1CCCC[N+]1(C)C,7.205887474977009,5.790507428858334,0.32141857787037686
CC[C@@H]1CCCC[N+]12CCCC2,7.2880149116281,5.4920752508134925,1.134830301024353
CC[C@@H]1CCCC[N+]12CCCCC2,7.962994338247979,6.543754319106202,0.7226995726641245
CC[C@@H]1CCCC[N@+]1(C)CC,7.159640892205224,5.8408035911631835,0.8738676598763657
CC[C@@H]1CCCC[N@+]12CCC[C@@H]2C,7.512234647968278,5.356362622549963,0.2017280544158453
CC[C@@H]1CCCC[N@+]12CCC[C@H]2C,7.029392986306482,6.714552192759857,0.483734946997755
CC[C@@H]1CCCC[N@@+]1(C)CC,7.014853952502303,5.734958604432089,-2.764561895156689
CC[C@@H]1CCCC[N@@+]12CCC[C@@H]2C,7.144520471527582,5.83275279352617,1.1829162507217816
CC[C@@H]1CCCC[N@@+]12CCC[C@H]2C,7.241246942030164,5.9465807101001324,-0.5567445546652223
CC[C@H]1CCCC[N+]1(C)C,7.153693755827954,5.766695917111652,1.3242449329315846
CC[C@H]1CCCC[N+]12CCCC2,7.339437550049743,5.506970158727817,2.918309999715099
CC[C@H]1CCCC[N+]12CCCCC2,6.967395312162597,6.2061555958783305,0.8413620852803163
CC[C@H]1CCCC[N@+]1(C)CC,7.276985914179923,6.554932170400938,2.23166312347594
CC[C@H]1CCCC[N@+]12CCC[C@@H]2C,7.243208871190577,5.9547002805221245,-3.1962292382875503
CC[C@H]1CCCC[N@+]12CCC[C@H]2C,7.144585050960567,5.8270905302521205,-1.3662425452918843
CC[C@H]1CCCC[N@@+]12CCC[C@@H]2C,7.038527746475058,6.71435509017396,2.1579938711652957
CC[C@H]1CCCC[N@@+]12CCC[C@H]2C,7.503208206853702,5.388782369074166,1.6427434966236927
CC[N+](C)(C(C)C)C(C)C,6.559204226269243,5.603446249833244,0.7103626452604903
